date,comments,posts,total
2020-05-07,27.0,1.0,28.0
2020-05-08,4.0,0.0,4.0
2020-05-14,2.0,0.0,2.0
2020-05-20,4.0,1.0,5.0
2020-05-21,115.0,0.0,115.0
2020-05-22,16.0,0.0,16.0
2020-05-23,35.0,0.0,35.0
2020-05-24,4.0,0.0,4.0
2020-05-25,7.0,0.0,7.0
2020-05-26,1.0,0.0,1.0
2020-05-31,36.0,1.0,37.0
2020-06-01,446.0,0.0,446.0
2020-06-02,4.0,0.0,4.0
2020-06-07,3.0,0.0,3.0
2020-07-01,1.0,0.0,1.0
2020-07-06,125.0,1.0,126.0
2020-07-07,48.0,0.0,48.0
2020-07-08,20.0,0.0,20.0
2020-07-09,131.0,1.0,132.0
2020-07-10,25.0,0.0,25.0
2020-07-12,2.0,0.0,2.0
2020-07-15,3.0,0.0,3.0
2020-07-16,2.0,0.0,2.0
2020-07-18,3.0,0.0,3.0
2020-07-19,1.0,0.0,1.0
2020-07-20,1.0,0.0,1.0
2020-07-22,4.0,0.0,4.0
2020-07-25,4.0,0.0,4.0
2020-07-30,1.0,0.0,1.0
2020-08-04,160.0,1.0,161.0
2020-08-05,62.0,0.0,62.0
2020-08-06,8.0,0.0,8.0
2020-08-07,6.0,0.0,6.0
2020-08-08,2.0,0.0,2.0
2020-08-10,1.0,0.0,1.0
2020-08-11,1.0,0.0,1.0
2020-08-12,3.0,0.0,3.0
2020-08-13,58.0,1.0,59.0
2020-08-14,52.0,0.0,52.0
2020-08-15,3.0,0.0,3.0
2020-08-18,110.0,1.0,111.0
2020-08-19,58.0,0.0,58.0
2020-08-20,23.0,0.0,23.0
2020-08-22,3.0,0.0,3.0
2020-08-23,2.0,0.0,2.0
2020-08-24,8.0,0.0,8.0
2020-08-25,7.0,0.0,7.0
2020-08-26,7.0,0.0,7.0
2020-08-27,7.0,0.0,7.0
2020-08-28,6.0,0.0,6.0
2020-08-29,6.0,0.0,6.0
2020-08-30,5.0,0.0,5.0
2020-08-31,2.0,0.0,2.0
2020-09-01,101.0,1.0,102.0
2020-09-02,44.0,0.0,44.0
2020-09-03,28.0,1.0,29.0
2020-09-04,34.0,0.0,34.0
2020-09-05,19.0,0.0,19.0
2020-09-06,14.0,0.0,14.0
2020-09-07,8.0,0.0,8.0
2020-09-08,20.0,0.0,20.0
2020-09-09,1.0,0.0,1.0
2020-09-11,2.0,0.0,2.0
2020-09-12,1.0,0.0,1.0
2020-09-13,1.0,0.0,1.0
2020-09-14,6.0,0.0,6.0
2020-09-16,5.0,0.0,5.0
2020-09-17,4.0,0.0,4.0
2020-09-18,3.0,0.0,3.0
2020-09-20,5.0,0.0,5.0
2020-09-21,128.0,1.0,129.0
2020-09-22,61.0,0.0,61.0
2020-09-23,3.0,0.0,3.0
2020-09-24,36.0,0.0,36.0
2020-09-25,18.0,0.0,18.0
2020-09-26,2.0,0.0,2.0
2020-09-27,3.0,0.0,3.0
2020-09-29,1.0,0.0,1.0
2020-10-01,1.0,0.0,1.0
2020-10-02,1.0,0.0,1.0
2020-10-03,2.0,0.0,2.0
2020-10-08,1.0,0.0,1.0
2020-10-09,1.0,0.0,1.0
2020-10-12,3.0,0.0,3.0
2020-10-13,5.0,0.0,5.0
2020-10-15,1.0,0.0,1.0
2020-10-17,11.0,0.0,11.0
2020-10-18,1.0,0.0,1.0
2020-10-20,3.0,0.0,3.0
2020-10-22,6.0,0.0,6.0
2020-10-27,4.0,0.0,4.0
2020-10-28,12.0,0.0,12.0
2020-11-04,2.0,0.0,2.0
2020-11-09,2.0,0.0,2.0
2020-11-24,2.0,0.0,2.0
2020-11-25,1.0,0.0,1.0
2020-11-27,3.0,0.0,3.0
2020-11-29,1.0,0.0,1.0
2020-12-08,3.0,0.0,3.0
2020-12-09,2.0,0.0,2.0
2020-12-10,38.0,1.0,39.0
2020-12-11,8.0,0.0,8.0
2020-12-12,2.0,0.0,2.0
2020-12-13,1.0,0.0,1.0
2020-12-17,1.0,0.0,1.0
2020-12-26,1.0,0.0,1.0
2021-01-02,6.0,0.0,6.0
2021-01-05,2.0,0.0,2.0
2021-01-13,104.0,1.0,105.0
2021-01-14,32.0,0.0,32.0
2021-01-15,12.0,0.0,12.0
2021-01-20,6.0,0.0,6.0
2021-01-21,1.0,0.0,1.0
2021-01-28,1.0,0.0,1.0
2021-01-31,1.0,0.0,1.0
2021-02-02,3.0,1.0,4.0
2021-02-03,26.0,0.0,26.0
2021-02-06,1.0,0.0,1.0
2021-02-07,8.0,0.0,8.0
2021-02-08,11.0,0.0,11.0
2021-02-09,1.0,0.0,1.0
2021-02-10,3.0,0.0,3.0
2021-02-14,1.0,0.0,1.0
2021-02-17,52.0,1.0,53.0
2021-02-18,38.0,0.0,38.0
2021-02-19,9.0,0.0,9.0
2021-02-20,5.0,0.0,5.0
2021-02-21,1.0,0.0,1.0
2021-02-22,1.0,0.0,1.0
2021-02-23,7.0,0.0,7.0
2021-02-24,5.0,0.0,5.0
2021-02-25,1.0,0.0,1.0
2021-03-01,103.0,1.0,104.0
