topic;time_bin;count;share
0;2020-05-04;5;1.0
0;2020-05-18;20;0.7692307692307693
0;2020-05-25;1;0.125
0;2020-06-01;25;0.4032258064516129
0;2020-07-06;50;0.7352941176470589
0;2020-07-13;5;1.0
0;2020-07-20;2;1.0
0;2020-08-03;31;0.6326530612244898
0;2020-08-10;15;0.5769230769230769
0;2020-08-17;30;0.8108108108108109
0;2020-08-24;4;0.8
0;2020-08-31;41;0.6721311475409836
0;2020-09-07;3;0.75
0;2020-09-14;2;0.6666666666666666
0;2020-09-21;32;0.5925925925925926
0;2020-09-28;2;1.0
0;2020-10-05;1;1.0
0;2020-10-12;3;0.75
0;2020-10-26;3;1.0
0;2020-11-09;1;1.0
0;2020-11-23;2;1.0
0;2021-01-11;13;0.7222222222222222
0;2021-01-18;1;0.25
0;2021-02-01;6;0.75
0;2021-02-08;4;0.5714285714285714
0;2021-02-15;11;0.7333333333333333
0;2021-02-22;1;1.0
0;2021-03-01;16;0.6153846153846154
0;2021-03-08;2;1.0
0;2021-03-22;2;1.0
0;2021-04-05;46;0.9583333333333334
0;2021-04-12;19;0.7037037037037037
0;2021-04-26;30;0.5769230769230769
0;2021-05-03;14;0.8235294117647058
0;2021-05-10;508;0.6454891994917408
0;2021-05-17;581;0.6755813953488372
0;2021-05-24;334;0.65748031496063
0;2021-05-31;270;0.712401055408971
0;2021-06-07;325;0.7190265486725663
0;2021-06-14;234;0.5318181818181819
0;2021-06-21;123;0.6949152542372882
0;2021-06-28;155;0.748792270531401
0;2021-07-05;220;0.7407407407407407
0;2021-07-12;118;0.6982248520710059
0;2021-07-19;65;0.6989247311827957
0;2021-07-26;120;0.5853658536585366
0;2021-08-02;49;0.8166666666666667
0;2021-08-09;9;0.6
0;2021-08-16;92;0.6571428571428571
0;2021-08-23;6;0.46153846153846156
0;2021-09-06;36;0.8372093023255814
0;2021-09-13;11;0.7857142857142857
0;2021-09-20;49;0.5975609756097561
0;2021-09-27;7;0.5833333333333334
0;2021-10-04;43;0.48314606741573035
0;2021-10-11;8;0.5333333333333333
0;2021-10-18;9;1.0
0;2021-10-25;5;1.0
0;2021-11-01;4;1.0
0;2021-11-08;2;1.0
0;2021-11-15;36;0.6428571428571429
0;2021-11-22;33;0.7674418604651163
0;2021-11-29;1;0.3333333333333333
