topic;time_bin;count;share
-1;2020-05-01;170;0.7053941908713693
-1;2020-06-01;297;0.7315270935960592
-1;2020-07-01;255;0.7203389830508474
-1;2020-08-01;405;0.708041958041958
-1;2020-09-01;359;0.6943907156673114
-1;2020-10-01;35;0.7
-1;2020-11-01;6;0.5454545454545454
-1;2020-12-01;40;0.7272727272727273
-1;2021-01-01;110;0.7189542483660131
-1;2021-02-01;117;0.7090909090909091
-1;2021-03-01;154;0.77
-1;2021-04-01;248;0.7251461988304093
-1;2021-05-01;8683;0.6975978147344741
-1;2021-06-01;5051;0.6947730398899588
-1;2021-07-01;2846;0.6936388008774068
-1;2021-08-01;778;0.7072727272727273
-1;2021-09-01;460;0.6695778748180495
-1;2021-10-01;492;0.7089337175792507
-1;2021-11-01;394;0.7242647058823529
-1;2021-12-01;23;0.46
-1;2022-01-01;107;0.601123595505618
-1;2022-02-01;369;0.6428571428571429
-1;2022-03-01;505;0.6524547803617571
-1;2022-04-01;256;0.6881720430107527
-1;2022-05-01;1478;0.6823638042474608
-1;2022-06-01;955;0.687544996400288
-1;2022-07-01;465;0.5946291560102301
-1;2022-08-01;620;0.667384284176534
-1;2022-09-01;310;0.754257907542579
-1;2022-10-01;68;0.85
-1;2022-11-01;3;0.6
-1;2022-12-01;45;0.6716417910447762
-1;2023-01-01;226;0.5885416666666666
-1;2023-02-01;259;0.6442786069651741
-1;2023-03-01;37;0.7872340425531915
-1;2023-04-01;306;0.612
-1;2023-05-01;731;0.6743542435424354
-1;2023-06-01;228;0.7058823529411765
-1;2023-07-01;423;0.6855753646677472
-1;2023-08-01;175;0.691699604743083
-1;2023-09-01;128;0.7804878048780488
-1;2023-10-01;34115;0.6790811553237653
-1;2023-11-01;25179;0.6526100254004458
-1;2023-12-01;14306;0.6564191979443884
-1;2024-01-01;7761;0.6621448681853084
-1;2024-02-01;8000;0.6347694993255574
-1;2024-03-01;6831;0.6403862379300647
-1;2024-04-01;11214;0.650954896383584
-1;2024-05-01;6917;0.6374527693300157
-1;2024-06-01;5913;0.6364908503767492
-1;2024-07-01;4692;0.6192424442391448
-1;2024-08-01;5010;0.6467854376452362
-1;2024-09-01;4359;0.5945982812713136
-1;2024-10-01;8182;0.6248186330660558
-1;2024-11-01;5433;0.6230504587155963
-1;2024-12-01;3816;0.6204878048780488
-1;2025-01-01;6179;0.6235116044399597
-1;2025-02-01;6912;0.6376383763837639
-1;2025-03-01;5797;0.6427541856081606
-1;2025-04-01;6677;0.6288970518978996
-1;2025-05-01;9363;0.6320372620494127
-1;2025-06-01;11927;0.6127408168507578
-1;2025-07-01;10084;0.6381470699911403
-1;2025-08-01;51473;0.6513838093671303
-1;2025-09-01;1533;0.6203966005665722
0;2020-05-01;52;0.2157676348547718
0;2020-06-01;71;0.1748768472906404
0;2020-07-01;82;0.23163841807909605
0;2020-08-01;130;0.22727272727272727
0;2020-09-01;133;0.2572533849129594
0;2020-10-01;13;0.26
0;2020-11-01;4;0.36363636363636365
0;2020-12-01;7;0.12727272727272726
0;2021-01-01;32;0.20915032679738563
0;2021-02-01;36;0.21818181818181817
0;2021-03-01;34;0.17
0;2021-04-01;82;0.23976608187134502
0;2021-05-01;2695;0.21651803647465254
0;2021-06-01;1656;0.22778541953232462
0;2021-07-01;1046;0.2549354131123568
0;2021-08-01;265;0.2409090909090909
0;2021-09-01;171;0.24890829694323144
0;2021-10-01;145;0.20893371757925072
0;2021-11-01;119;0.21875
0;2021-12-01;18;0.36
0;2022-01-01;60;0.33707865168539325
0;2022-02-01;135;0.23519163763066203
0;2022-03-01;187;0.24160206718346253
0;2022-04-01;79;0.21236559139784947
0;2022-05-01;485;0.22391505078485688
0;2022-06-01;326;0.23470122390208784
0;2022-07-01;251;0.3209718670076726
0;2022-08-01;222;0.23896663078579117
0;2022-09-01;77;0.1873479318734793
0;2022-10-01;8;0.1
0;2022-11-01;2;0.4
0;2022-12-01;17;0.2537313432835821
0;2023-01-01;107;0.2786458333333333
0;2023-02-01;88;0.21890547263681592
0;2023-03-01;4;0.0851063829787234
0;2023-04-01;109;0.218
0;2023-05-01;264;0.24354243542435425
0;2023-06-01;62;0.19195046439628483
0;2023-07-01;150;0.24311183144246354
0;2023-08-01;51;0.2015810276679842
0;2023-09-01;22;0.13414634146341464
0;2023-10-01;12546;0.24973625017417442
0;2023-11-01;10078;0.2612098906225701
0;2023-12-01;5619;0.25782325410663487
0;2024-01-01;2924;0.24946676904700965
0;2024-02-01;3228;0.2561294929778624
0;2024-03-01;2625;0.24608605981063092
0;2024-04-01;4343;0.25210425494862715
0;2024-05-01;2958;0.27260160353884433
0;2024-06-01;2522;0.2714747039827772
0;2024-07-01;2126;0.28058598389864065
0;2024-08-01;1985;0.2562612961528531
0;2024-09-01;2083;0.2841358614104488
0;2024-10-01;3455;0.26384116074837727
0;2024-11-01;2271;0.2604357798165138
0;2024-12-01;1667;0.2710569105691057
0;2025-01-01;2655;0.2679112008072654
0;2025-02-01;2518;0.23228782287822877
0;2025-03-01;2273;0.2520235059319215
0;2025-04-01;2848;0.26824903456720356
0;2025-05-01;3638;0.245578506817875
0;2025-06-01;5079;0.26092987413305935
0;2025-07-01;3950;0.24996835843564105
0;2025-08-01;20899;0.2644740005821237
0;2025-09-01;735;0.29745042492917845
1;2020-06-01;5;0.012315270935960592
1;2020-08-01;4;0.006993006993006993
1;2021-01-01;3;0.0196078431372549
1;2021-05-01;95;0.007632361211536916
1;2021-06-01;43;0.005914718019257221
1;2021-07-01;2;0.0004874482086278333
1;2021-08-01;1;0.0009090909090909091
1;2021-09-01;4;0.005822416302765648
1;2021-10-01;7;0.010086455331412104
1;2021-11-01;3;0.0055147058823529415
1;2022-03-01;2;0.002583979328165375
1;2022-05-01;33;0.015235457063711912
1;2022-06-01;1;0.0007199424046076314
1;2022-07-01;1;0.0012787723785166241
1;2022-08-01;2;0.002152852529601722
1;2022-09-01;1;0.0024330900243309003
1;2023-01-01;3;0.0078125
1;2023-05-01;3;0.0027675276752767526
1;2023-07-01;1;0.0016207455429497568
1;2023-08-01;1;0.003952569169960474
1;2023-09-01;4;0.024390243902439025
1;2023-10-01;331;0.006588769233831638
1;2023-11-01;271;0.007024000829402312
1;2023-12-01;206;0.009452142791594016
1;2024-01-01;111;0.00947018172510878
1;2024-02-01;213;0.016900737919542965
1;2024-03-01;77;0.00721852442111184
1;2024-04-01;118;0.006849712660358739
1;2024-05-01;87;0.008017694221730716
1;2024-06-01;24;0.0025834230355220667
1;2024-07-01;43;0.005675069288636664
1;2024-08-01;59;0.007616834495223341
1;2024-09-01;102;0.013913517937525577
1;2024-10-01;147;0.01122565864833906
1;2024-11-01;221;0.025344036697247708
1;2024-12-01;57;0.009268292682926829
1;2025-01-01;68;0.0068617558022199794
1;2025-02-01;110;0.01014760147601476
1;2025-03-01;97;0.010755072624459475
1;2025-04-01;57;0.005368748233964397
1;2025-05-01;179;0.012083164574051572
1;2025-06-01;520;0.026714615977395325
1;2025-07-01;108;0.006834577901531452
1;2025-08-01;386;0.004884777464218372
1;2025-09-01;20;0.008093889113719142
2;2020-05-01;3;0.012448132780082987
2;2020-06-01;4;0.009852216748768473
2;2020-07-01;3;0.00847457627118644
2;2020-08-01;5;0.008741258741258742
2;2020-09-01;4;0.007736943907156673
2;2021-01-01;4;0.026143790849673203
2;2021-02-01;3;0.01818181818181818
2;2021-03-01;3;0.015
2;2021-04-01;2;0.005847953216374269
2;2021-05-01;118;0.00948019603117217
2;2021-06-01;82;0.011279229711141679
2;2021-07-01;32;0.007799171338045333
2;2021-08-01;10;0.00909090909090909
2;2021-09-01;5;0.00727802037845706
2;2021-10-01;8;0.011527377521613832
2;2021-11-01;2;0.003676470588235294
2;2021-12-01;1;0.02
2;2022-01-01;3;0.016853932584269662
2;2022-02-01;3;0.005226480836236934
2;2022-03-01;11;0.014211886304909561
2;2022-04-01;7;0.01881720430107527
2;2022-05-01;17;0.007848568790397045
2;2022-06-01;15;0.01079913606911447
2;2022-07-01;10;0.01278772378516624
2;2022-08-01;13;0.013993541442411194
2;2022-09-01;2;0.004866180048661801
2;2022-10-01;2;0.025
2;2022-12-01;1;0.014925373134328358
2;2023-01-01;6;0.015625
2;2023-02-01;5;0.012437810945273632
2;2023-04-01;2;0.004
2;2023-05-01;13;0.011992619926199263
2;2023-06-01;14;0.043343653250773995
2;2023-07-01;6;0.009724473257698542
2;2023-08-01;4;0.015810276679841896
2;2023-09-01;2;0.012195121951219513
2;2023-10-01;607;0.012082727869896689
2;2023-11-01;434;0.011248768855943185
2;2023-12-01;215;0.009865100486372395
2;2024-01-01;111;0.00947018172510878
2;2024-02-01;139;0.01102912005078156
2;2024-03-01;98;0.009187212899596888
2;2024-04-01;168;0.009752133279154815
2;2024-05-01;118;0.01087457377200258
2;2024-06-01;112;0.012055974165769645
2;2024-07-01;73;0.009634419955127359
2;2024-08-01;87;0.011231603408210689
2;2024-09-01;109;0.01486836720774792
2;2024-10-01;160;0.012218403970981291
2;2024-11-01;78;0.008944954128440367
2;2024-12-01;66;0.010731707317073172
2;2025-01-01;95;0.00958627648839556
2;2025-02-01;137;0.012638376383763838
2;2025-03-01;128;0.014192260782791883
2;2025-04-01;118;0.011114250729961382
2;2025-05-01;187;0.012623194275685163
2;2025-06-01;185;0.009504238376573337
2;2025-07-01;203;0.012846475129730413
2;2025-08-01;1048;0.01326229736399185
2;2025-09-01;32;0.012950222581950627
3;2020-05-01;1;0.004149377593360996
3;2021-05-01;7;0.0005623845103237728
3;2021-06-01;4;0.0005502063273727648
3;2021-07-01;2;0.0004874482086278333
3;2021-09-01;17;0.024745269286754003
3;2021-10-01;15;0.021613832853025938
3;2021-11-01;9;0.016544117647058824
3;2022-01-01;2;0.011235955056179775
3;2022-02-01;7;0.012195121951219513
3;2022-03-01;29;0.037467700258397935
3;2022-04-01;12;0.03225806451612903
3;2022-05-01;37;0.017082179132040628
3;2022-06-01;32;0.023038156947444204
3;2022-07-01;19;0.024296675191815855
3;2022-08-01;25;0.02691065662002153
3;2022-09-01;2;0.004866180048661801
3;2023-01-01;2;0.005208333333333333
3;2023-02-01;25;0.06218905472636816
3;2023-03-01;3;0.06382978723404255
3;2023-04-01;3;0.006
3;2023-05-01;14;0.012915129151291513
3;2023-06-01;7;0.021671826625386997
3;2023-07-01;8;0.012965964343598054
3;2023-08-01;9;0.03557312252964427
3;2023-09-01;4;0.024390243902439025
3;2023-10-01;263;0.005235185222047495
3;2023-11-01;446;0.01155979472292779
3;2023-12-01;210;0.009635679544828852
