topic;time_bin;count;share
-1;2020-05-01;13;0.25
-1;2020-06-01;9;0.1267605633802817
-1;2020-07-01;7;0.08536585365853659
-1;2020-08-01;11;0.08461538461538462
-1;2020-09-01;13;0.09774436090225563
-1;2020-10-01;2;0.15384615384615385
-1;2020-11-01;1;0.25
-1;2020-12-01;1;0.14285714285714285
-1;2021-01-01;10;0.3125
-1;2021-02-01;5;0.1388888888888889
-1;2021-03-01;3;0.08823529411764706
-1;2021-04-01;7;0.08536585365853659
-1;2021-05-01;412;0.1528756957328386
-1;2021-06-01;214;0.1292270531400966
-1;2021-07-01;131;0.12523900573613767
-1;2021-08-01;34;0.12830188679245283
-1;2021-09-01;22;0.1286549707602339
-1;2021-10-01;25;0.1724137931034483
-1;2021-11-01;14;0.11764705882352941
-1;2021-12-01;4;0.2222222222222222
-1;2022-01-01;7;0.11666666666666667
-1;2022-02-01;18;0.13333333333333333
-1;2022-03-01;24;0.12834224598930483
-1;2022-04-01;15;0.189873417721519
-1;2022-05-01;62;0.12783505154639174
-1;2022-06-01;49;0.15030674846625766
-1;2022-07-01;30;0.11952191235059761
-1;2022-08-01;21;0.0945945945945946
-1;2022-09-01;11;0.14285714285714285
-1;2022-10-01;2;0.25
-1;2022-12-01;1;0.058823529411764705
-1;2023-01-01;18;0.16822429906542055
-1;2023-02-01;19;0.2159090909090909
-1;2023-03-01;1;0.25
-1;2023-04-01;16;0.14678899082568808
-1;2023-05-01;35;0.13257575757575757
-1;2023-06-01;5;0.08064516129032258
-1;2023-07-01;27;0.18
-1;2023-08-01;13;0.2549019607843137
-1;2023-09-01;2;0.09090909090909091
-1;2023-10-01;1538;0.12258887294755301
-1;2023-11-01;1004;0.09962294105973407
-1;2023-12-01;540;0.09610250934329952
-1;2024-01-01;304;0.1039671682626539
-1;2024-02-01;326;0.10099132589838909
-1;2024-03-01;252;0.096
-1;2024-04-01;475;0.10937140225650473
-1;2024-05-01;294;0.09939148073022312
-1;2024-06-01;255;0.10111022997620936
-1;2024-07-01;231;0.10865475070555033
-1;2024-08-01;204;0.10277078085642317
-1;2024-09-01;208;0.09985597695631301
-1;2024-10-01;308;0.08914616497829234
-1;2024-11-01;270;0.11889035667107001
-1;2024-12-01;194;0.11637672465506899
-1;2025-01-01;282;0.10621468926553672
-1;2025-02-01;256;0.10166799046862589
-1;2025-03-01;219;0.0963484381874175
-1;2025-04-01;293;0.10287921348314606
-1;2025-05-01;373;0.10252886201209456
-1;2025-06-01;530;0.10435125024611144
-1;2025-07-01;382;0.09670886075949367
-1;2025-08-01;2110;0.10096176850567012
-1;2025-09-01;70;0.09523809523809523
0;2020-05-01;26;0.5
0;2020-06-01;25;0.352112676056338
0;2020-07-01;57;0.6951219512195121
0;2020-08-01;82;0.6307692307692307
0;2020-09-01;76;0.5714285714285714
0;2020-10-01;9;0.6923076923076923
0;2020-11-01;3;0.75
0;2021-01-01;14;0.4375
0;2021-02-01;22;0.6111111111111112
0;2021-03-01;20;0.5882352941176471
0;2021-04-01;65;0.7926829268292683
0;2021-05-01;1510;0.5602968460111317
0;2021-06-01;958;0.5785024154589372
0;2021-07-01;627;0.5994263862332696
0;2021-08-01;158;0.5962264150943396
0;2021-09-01;103;0.6023391812865497
0;2021-10-01;65;0.4482758620689655
0;2021-11-01;75;0.6302521008403361
0;2021-12-01;8;0.4444444444444444
0;2022-01-01;41;0.6833333333333333
0;2022-02-01;79;0.5851851851851851
0;2022-03-01;109;0.5828877005347594
0;2022-04-01;45;0.569620253164557
0;2022-05-01;284;0.5855670103092784
0;2022-06-01;196;0.6012269938650306
0;2022-07-01;152;0.6055776892430279
0;2022-08-01;143;0.6441441441441441
0;2022-09-01;46;0.5974025974025974
0;2022-10-01;4;0.5
0;2022-11-01;1;0.5
0;2022-12-01;8;0.47058823529411764
0;2023-01-01;49;0.45794392523364486
0;2023-02-01;43;0.48863636363636365
0;2023-03-01;1;0.25
0;2023-04-01;69;0.6330275229357798
0;2023-05-01;153;0.5795454545454546
0;2023-06-01;41;0.6612903225806451
0;2023-07-01;86;0.5733333333333334
0;2023-08-01;26;0.5098039215686274
0;2023-09-01;16;0.7272727272727273
0;2023-10-01;7795;0.6213135660768372
0;2023-11-01;6556;0.6505258979956341
0;2023-12-01;3486;0.6203950880939669
0;2024-01-01;1789;0.6118331053351573
0;2024-02-01;2046;0.6338289962825279
0;2024-03-01;1636;0.6232380952380953
0;2024-04-01;2591;0.596592217361271
0;2024-05-01;1862;0.6294793779580797
0;2024-06-01;1638;0.6494845360824743
0;2024-07-01;1352;0.6359360301034808
0;2024-08-01;1130;0.5692695214105793
0;2024-09-01;1450;0.6961113778204513
0;2024-10-01;2252;0.6518089725036179
0;2024-11-01;1256;0.5530603258476442
0;2024-12-01;1063;0.6376724655068986
0;2025-01-01;1710;0.6440677966101694
0;2025-02-01;1585;0.6294678316123908
0;2025-03-01;1456;0.6405631324241091
0;2025-04-01;1839;0.6457162921348315
0;2025-05-01;2319;0.637438152831226
0;2025-06-01;3160;0.6221697184485135
0;2025-07-01;2579;0.6529113924050632
0;2025-08-01;13682;0.6546724723670989
0;2025-09-01;507;0.689795918367347
1;2020-06-01;4;0.056338028169014086
1;2020-08-01;7;0.05384615384615385
1;2020-09-01;4;0.03007518796992481
1;2021-04-01;3;0.036585365853658534
1;2021-05-01;126;0.046753246753246755
1;2021-06-01;90;0.05434782608695652
1;2021-07-01;50;0.04780114722753346
1;2021-08-01;20;0.07547169811320754
1;2021-09-01;8;0.04678362573099415
1;2021-10-01;5;0.034482758620689655
1;2021-11-01;9;0.07563025210084033
1;2021-12-01;1;0.05555555555555555
1;2022-02-01;2;0.014814814814814815
1;2022-03-01;5;0.026737967914438502
1;2022-04-01;1;0.012658227848101266
1;2022-05-01;25;0.05154639175257732
1;2022-06-01;18;0.05521472392638037
1;2022-07-01;10;0.0398406374501992
1;2022-08-01;5;0.02252252252252252
1;2022-09-01;7;0.09090909090909091
1;2022-11-01;1;0.5
1;2022-12-01;7;0.4117647058823529
1;2023-01-01;7;0.06542056074766354
1;2023-02-01;3;0.03409090909090909
1;2023-03-01;1;0.25
1;2023-04-01;4;0.03669724770642202
1;2023-05-01;13;0.04924242424242424
1;2023-06-01;1;0.016129032258064516
1;2023-07-01;2;0.013333333333333334
1;2023-10-01;429;0.034194165471066476
1;2023-11-01;305;0.03026394125818615
1;2023-12-01;201;0.03577148958889482
1;2024-01-01;89;0.030437756497948016
1;2024-02-01;59;0.018277571251548948
1;2024-03-01;60;0.022857142857142857
1;2024-04-01;94;0.02164402486760304
1;2024-05-01;61;0.020622041920216362
1;2024-06-01;71;0.028152260111022998
1;2024-07-01;72;0.03386641580432737
1;2024-08-01;62;0.031234256926952142
1;2024-09-01;46;0.022083533365338453
1;2024-10-01;92;0.02662807525325615
1;2024-11-01;64;0.028181417877586965
1;2024-12-01;36;0.021595680863827234
1;2025-01-01;75;0.02824858757062147
1;2025-02-01;67;0.02660841938046068
1;2025-03-01;99;0.04355477342718874
1;2025-04-01;126;0.04424157303370786
1;2025-05-01;102;0.028037383177570093
1;2025-06-01;144;0.02835203780271707
1;2025-07-01;90;0.02278481012658228
1;2025-08-01;601;0.028757356811330684
1;2025-09-01;12;0.0163265306122449
2;2020-05-01;1;0.019230769230769232
2;2020-07-01;1;0.012195121951219513
2;2020-08-01;1;0.007692307692307693
2;2020-09-01;3;0.022556390977443608
2;2020-10-01;1;0.07692307692307693
2;2021-02-01;1;0.027777777777777776
2;2021-04-01;1;0.012195121951219513
2;2021-05-01;63;0.023376623376623377
2;2021-06-01;31;0.018719806763285024
2;2021-07-01;36;0.03441682600382409
2;2021-08-01;5;0.018867924528301886
2;2021-09-01;1;0.005847953216374269
2;2021-10-01;2;0.013793103448275862
2;2021-11-01;2;0.01680672268907563
2;2022-01-01;2;0.03333333333333333
2;2022-02-01;4;0.02962962962962963
2;2022-03-01;12;0.06417112299465241
2;2022-05-01;15;0.030927835051546393
2;2022-06-01;5;0.015337423312883436
2;2022-07-01;7;0.027888446215139442
2;2022-08-01;13;0.05855855855855856
2;2022-09-01;3;0.03896103896103896
2;2023-01-01;3;0.028037383177570093
2;2023-02-01;1;0.011363636363636364
2;2023-05-01;13;0.04924242424242424
2;2023-06-01;2;0.03225806451612903
2;2023-07-01;3;0.02
2;2023-08-01;3;0.058823529411764705
2;2023-10-01;541;0.04312131356607684
2;2023-11-01;311;0.03085929747965866
2;2023-12-01;243;0.043246129204484784
2;2024-01-01;65;0.02222982216142271
2;2024-02-01;128;0.03965303593556382
2;2024-03-01;67;0.025523809523809525
2;2024-04-01;150;0.0345383375546857
2;2024-05-01;72;0.02434077079107505
2;2024-06-01;58;0.022997620935765267
2;2024-07-01;103;0.04844778927563499
2;2024-08-01;61;0.030730478589420653
2;2024-09-01;58;0.02784445511281805
2;2024-10-01;77;0.022286541244573084
2;2024-11-01;124;0.054601497137824744
2;2024-12-01;48;0.028794241151769647
2;2025-01-01;134;0.05047080979284369
2;2025-02-01;71;0.028196981731532962
2;2025-03-01;62;0.027276726792784867
2;2025-04-01;52;0.018258426966292134
2;2025-05-01;89;0.02446399120395822
2;2025-06-01;269;0.05296318172868675
2;2025-07-01;89;0.022531645569620253
2;2025-08-01;414;0.019809560266041436
2;2025-09-01;8;0.010884353741496598
3;2021-05-01;3;0.0011131725417439704
3;2021-06-01;1;0.0006038647342995169
3;2021-07-01;1;0.0009560229445506692
3;2021-08-01;1;0.0037735849056603774
3;2021-10-01;3;0.020689655172413793
3;2021-11-01;2;0.01680672268907563
3;2021-12-01;2;0.1111111111111111
3;2022-01-01;1;0.016666666666666666
3;2022-02-01;4;0.02962962962962963
3;2022-04-01;1;0.012658227848101266
3;2022-05-01;5;0.010309278350515464
3;2022-06-01;20;0.06134969325153374
3;2022-07-01;3;0.01195219123505976
3;2022-08-01;1;0.0045045045045045045
3;2022-09-01;1;0.012987012987012988
3;2023-01-01;3;0.028037383177570093
3;2023-02-01;4;0.045454545454545456
3;2023-04-01;2;0.01834862385321101
3;2023-05-01;3;0.011363636363636364
3;2023-06-01;2;0.03225806451612903
3;2023-08-01;5;0.09803921568627451
3;2023-09-01;1;0.045454545454545456
3;2023-10-01;201;0.01602104256336681
3;2023-11-01;255;0.025302639412581863
3;2023-12-01;153;0.027229044313934865
3;2024-01-01;95;0.032489740082079346
3;2024-02-01;112;0.03469640644361834
3;2024-03-01;97;0.03695238095238095
3;2024-04-01;176;0.04052498273083122
3;2024-05-01;115;0.03887762001352265
3;2024-06-01;113;0.04480570975416336
3;2024-07-01;59;0.027751646284101598
3;2024-08-01;76;0.03828715365239295
3;2024-09-01;53;0.025444071051368217
3;2024-10-01;98;0.028364688856729377
3;2024-11-01;53;0.023337736679876705
3;2024-12-01;50;0.029994001199760048
3;2025-01-01;75;0.02824858757062147
3;2025-02-01;110;0.043685464654487687
3;2025-03-01;64;0.028156621205455347
3;2025-04-01;129;0.04529494382022472
3;2025-05-01;138;0.03793293018141836
3;2025-06-01;219;0.04311872415829888
3;2025-07-01;138;0.034936708860759495
3;2025-08-01;633;0.03028853055170104
3;2025-09-01;24;0.0326530612244898
4;2020-06-01;2;0.028169014084507043
4;2020-09-01;1;0.007518796992481203
4;2021-01-01;2;0.0625
4;2021-02-01;1;0.027777777777777776
4;2021-04-01;3;0.036585365853658534
4;2021-05-01;46;0.017068645640074213
4;2021-06-01;21;0.012681159420289856
4;2021-07-01;22;0.021032504780114723
4;2021-08-01;5;0.018867924528301886
4;2021-09-01;2;0.011695906432748537
4;2021-10-01;2;0.013793103448275862
4;2021-11-01;3;0.025210084033613446
4;2021-12-01;2;0.1111111111111111
4;2022-02-01;3;0.022222222222222223
4;2022-03-01;4;0.0213903743315508
4;2022-04-01;1;0.012658227848101266
4;2022-05-01;21;0.04329896907216495
