topic;time_bin;count;share
-1;2020-05-04;22;0.7586206896551724
-1;2020-05-11;2;1.0
-1;2020-05-18;119;0.7041420118343196
-1;2020-05-25;27;0.6585365853658537
-1;2020-06-01;297;0.7315270935960592
-1;2020-06-29;1;1.0
-1;2020-07-06;245;0.7335329341317365
-1;2020-07-13;2;0.2222222222222222
-1;2020-07-20;6;0.6666666666666666
-1;2020-07-27;1;1.0
-1;2020-08-03;157;0.6977777777777778
-1;2020-08-10;84;0.75
-1;2020-08-17;127;0.675531914893617
-1;2020-08-24;37;0.8222222222222222
-1;2020-08-31;162;0.6864406779661016
-1;2020-09-07;25;0.8333333333333334
-1;2020-09-14;12;0.5454545454545454
-1;2020-09-21;160;0.6926406926406926
-1;2020-09-28;2;0.5
-1;2020-10-05;1;0.5
-1;2020-10-12;13;0.65
-1;2020-10-19;7;0.875
-1;2020-10-26;12;0.75
-1;2020-11-02;2;1.0
-1;2020-11-23;4;0.5714285714285714
-1;2020-12-07;38;0.7169811320754716
-1;2020-12-14;1;1.0
-1;2020-12-21;1;1.0
-1;2020-12-28;6;1.0
-1;2021-01-04;2;1.0
-1;2021-01-11;97;0.7132352941176471
-1;2021-01-18;3;0.42857142857142855
-1;2021-01-25;2;1.0
-1;2021-02-01;19;0.5757575757575758
-1;2021-02-08;7;0.4375
-1;2021-02-15;79;0.7745098039215687
-1;2021-02-22;12;0.8571428571428571
-1;2021-03-01;102;0.7445255474452555
-1;2021-03-08;9;0.8181818181818182
-1;2021-03-15;1;1.0
-1;2021-03-22;42;0.84
-1;2021-04-05;105;0.65625
-1;2021-04-12;137;0.7784090909090909
-1;2021-04-19;5;1.0
-1;2021-04-26;214;0.7109634551495017
-1;2021-05-03;59;0.686046511627907
-1;2021-05-10;3269;0.7202026878166997
-1;2021-05-17;3220;0.7067603160667252
-1;2021-05-24;1662;0.6434378629500581
-1;2021-05-31;1379;0.692964824120603
-1;2021-06-07;1721;0.707357172215372
-1;2021-06-14;1488;0.6950023353573097
-1;2021-06-21;541;0.6565533980582524
-1;2021-06-28;758;0.6973321067157314
-1;2021-07-05;795;0.6703204047217538
-1;2021-07-12;397;0.6465798045602605
-1;2021-07-19;269;0.7023498694516971
-1;2021-07-26;814;0.7359855334538878
-1;2021-08-02;125;0.5952380952380952
-1;2021-08-09;31;0.6078431372549019
-1;2021-08-16;526;0.7325905292479109
-1;2021-08-23;91;0.8053097345132744
-1;2021-08-30;2;0.6666666666666666
-1;2021-09-06;149;0.7376237623762376
-1;2021-09-13;53;0.6625
-1;2021-09-20;238;0.6432432432432432
-1;2021-09-27;20;0.5555555555555556
-1;2021-10-04;340;0.7024793388429752
-1;2021-10-11;113;0.7793103448275862
-1;2021-10-18;31;0.62
-1;2021-10-25;6;0.5454545454545454
-1;2021-11-01;16;0.7619047619047619
-1;2021-11-08;11;0.7857142857142857
-1;2021-11-15;213;0.7344827586206897
-1;2021-11-22;152;0.7004608294930875
-1;2021-11-29;5;0.3333333333333333
-1;2021-12-06;12;0.5
-1;2021-12-13;3;0.42857142857142855
-1;2021-12-20;5;0.8333333333333334
-1;2022-01-17;98;0.6363636363636364
-1;2022-01-24;9;0.42857142857142855
-1;2022-01-31;115;0.732484076433121
-1;2022-02-07;7;0.7777777777777778
-1;2022-02-14;8;0.6153846153846154
-1;2022-02-21;232;0.6010362694300518
-1;2022-02-28;17;0.5151515151515151
-1;2022-03-07;144;0.6101694915254238
