date;count;dominant_topic;dominant_topic_name;dominant_topic_count;dominant_topic_share;matched_event_date;matched_event;days_event_minus_spike
2023-10-18;1061;0;0_genocide_comments_israel_hamas;844;0.7955;2023-10-18;On 18 October 2023, Palestinian health authorities said that 13 Palestinians, including five children, were killed in clashes in Nur Shams while the Israeli military reported one of its officers killed.;0
2023-10-30;1154;0;0_genocide_comments_israel_hamas;798;0.6915;2023-10-30;On 30 October 2023, UNICEF’s chief warned of a possible “catastrophe” due to a lack of clean water, the World Health Organization said hundreds have been killed in attacks on the health sector;0
2025-07-30;1105;0;0_genocide_comments_israel_hamas;832;0.7529;2025-07-28;"IDF says troops uncovered weapons and tunnel near school building in north Gaza.""";-2
2025-07-31;1025;0;0_genocide_comments_israel_hamas;750;0.7317;2025-07-31;"Trump?s envoy meets Netanyahu to discuss Gaza aid and ceasefire.""";0
2025-08-03;1025;0;0_genocide_comments_israel_hamas;745;0.7268;2025-07-31;"Trump?s envoy meets Netanyahu to discuss Gaza aid and ceasefire.""";-3
2025-08-07;1046;0;0_genocide_comments_israel_hamas;793;0.7581;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-3
2025-08-20;1108;0;0_genocide_comments_israel_hamas;846;0.7635;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-16
2025-08-22;1098;0;0_genocide_comments_israel_hamas;862;0.7851;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-18
2025-08-25;1167;0;0_genocide_comments_israel_hamas;878;0.7524;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-21
2025-08-26;1076;0;0_genocide_comments_israel_hamas;811;0.7537;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-22
