date;count;dominant_topic;dominant_topic_name;dominant_topic_count;dominant_topic_share;matched_event_date;matched_event;days_event_minus_spike
2021-05-12;214;0;0_hamas_gaza_genocide_palestinians;125;0.5841;2021-05-12;On 12 May 2021, Israeli aircraft have struck targets in the city Gaza (Gaza Strip, Gaza), killing several commanders of Hamas Movements.;0
2021-05-13;140;0;0_hamas_gaza_genocide_palestinians;100;0.7143;2021-05-13;On 13 May 2021, Palestinian militants in the Gaza Strip fired an anti-tank rocket on an Israeli military jeep across the Gaza Strip-Israeli border near Sderot (HaDarom, Ashqelon), killing one Israeli soldier.;0
2021-05-15;125;0;0_hamas_gaza_genocide_palestinians;83;0.664;2021-05-15;On 15 May 2021, a rocket launched by Hamas, part of a larger rocket attack, landed on a farm in the Eshkol Regional Council, resulting in the death of 3 cows. Coded at Magen (Besor, Beer Sheva).;0
2021-05-16;194;0;0_hamas_gaza_genocide_palestinians;130;0.6701;2021-05-16;On 16 May 2021, the Israeli forces opened fire at a Palestinian in Al Quds - Shaykh Jarrah (Al Quds) and killed him. According to Israeli sources, the Palestinian attempted to execute a car-ramming attack against Israeli forces. As a result, 7 soldiers were injured. Israeli forces fired sound bombs to disperse the people gathered at the entrance of the Shaykh Jarrah area, and pushed a journalist covering the event.;0
2021-05-17;230;0;0_hamas_gaza_genocide_palestinians;150;0.6522;2021-05-17;On 17 May 2021, Hamas targeted the southern Israeli towns of Netivot, Ashqelon, and Beersheba with a barrage of rockets. No casualties occurred.;0
2021-05-18;186;0;0_hamas_gaza_genocide_palestinians;144;0.7742;2021-05-18;On 18 May 2021, a barrage of rockets fired by Palestinian militants hit the city Ashdod (HaDarom, Ashqelon). No casualties occurred.;0
2021-05-21;183;0;0_hamas_gaza_genocide_palestinians;124;0.6776;2021-05-21;On 21 May 2021, Israeli settlers, under the protection of Israeli military forces, assaulted Palestinian civilians and their homes in the neighborhood of Wadi al Hassin east of the city of Hebron (Hebron). Israeli settlers used pepper spray and hurled stones and fired live bullets towards the Palestinians. As a result, several Palestinians suffered from tear gas inhalation.;0
2021-05-26;139;0;0_hamas_gaza_genocide_palestinians;90;0.6475;2021-05-26;On 26 May 2021, an incendiary balloon that had supposedly been launched by Palestinian militants in Gaza Strip landed near Saad (HaDarom, Beer Sheva) igniting a fire. Israeli officials haven't confirmed the incident. This would constitute a breach of the ceasefire struck between Israel and the Hamas Movement on May 21.;0
2021-05-30;141;0;0_hamas_gaza_genocide_palestinians;85;0.6028;2021-05-30;On 30 May 2021, a Palestinian from Gaza Strip, armed with a kitchen knife, infiltrated the Israeli border and stabbed a civilian near Avshalom (HaDarom, Beer Sheva), injuring him. The victim was stabbed after stopping his car next to the attacker since he'd suspected him. An Israeli soldier that was nearby shot the attacker, who was arrested and later indicted in a nationalist-motivated attack.;0
2021-06-09;140;0;0_hamas_gaza_genocide_palestinians;101;0.7214;2021-06-09;On 9 June 2021, unidentified gunmen shot several bullets into the house of the Arab Israeli journalist Nidal Agbaria in Umm el Fahm (Hafia, Hadera), without inflicting any casualties. The culprits are reportedly assumed to be from within the Arab sector in Israel, but it's not yet clear whether the shooting was personally directed against Agbaria due to its journalistic work. On 3 June 2019, a similar shooting occurred toward the house of another Israeli Arab journalist.;0
