date;count;dominant_topic;dominant_topic_name;dominant_topic_count;dominant_topic_share;matched_event_date;matched_event;days_event_minus_spike
2023-10-18;768;0;0_hamas_gaza_genocide_palestinians;575;0.7487;2023-10-18;On 18 October 2023, Palestinian health authorities said that 13 Palestinians, including five children, were killed in clashes in Nur Shams while the Israeli military reported one of its officers killed.;0
2023-10-30;705;0;0_hamas_gaza_genocide_palestinians;494;0.7007;2023-10-30;On 30 October 2023, UNICEF’s chief warned of a possible “catastrophe” due to a lack of clean water, the World Health Organization said hundreds have been killed in attacks on the health sector;0
2025-07-30;761;0;0_hamas_gaza_genocide_palestinians;577;0.7582;2025-07-28;"IDF says troops uncovered weapons and tunnel near school building in north Gaza.""";-2
2025-08-04;696;0;0_hamas_gaza_genocide_palestinians;515;0.7399;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";0
2025-08-07;719;0;0_hamas_gaza_genocide_palestinians;532;0.7399;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-3
2025-08-19;698;0;0_hamas_gaza_genocide_palestinians;502;0.7192;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-15
2025-08-20;770;0;0_hamas_gaza_genocide_palestinians;538;0.6987;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-16
2025-08-22;785;0;0_hamas_gaza_genocide_palestinians;600;0.7643;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-18
2025-08-25;800;0;0_hamas_gaza_genocide_palestinians;570;0.7125;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-21
2025-08-26;720;0;0_hamas_gaza_genocide_palestinians;523;0.7264;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-22
